entity_id,created_by_user_id,user_id,name,username,email,web,description,description_alt,cuit,cuil,founded_date,employee_count,country,country_id,state,state_id,city,city_id,street,street_number,apartment,apartment_number,postal_code,phone,phone_alt,international_activity_code
1,,1,SOIME SRL,SOIME_SRL,info@soime.com.ar,www.soime.com.ar,Fabricación de maquinaria y equipo de uso especial n.c.p.,"Construcción, reforma y reparación de edificios no residenciales (Incluye construcción, reforma y r",30674526357,,1993-11-30,77,Argentina,1,Santa Fe,2189,,,DOMINGO BORGHI,35,,,2156,0-0,0-0,282909
2,,1,MALDONADO SACI,MALDONADO_SACI,administracion@maldonadosaci.com,www.maldonadosaci.com,Fabricación de carrocerías para vehículos automotores fabricación de remolques y semirremolques,"Fabricación de partes, piezas y accesorios para vehículos automotores y sus motores n.c.p.",30506440412,,1978-12-20,47,Argentina,1,Mendoza,1365,,,RODRIGUEZ PENA KM 7 5 0 LOTE K,0,,,5513,261-4979555,261-4930995,292000
3,,1,MBBT SRL,MBBT_SRL,mbbt.ventasmb@moduquines.com.ar,www.moduquines.com.ar,"Fabricación de motores, generadores y transformadores eléctricos","Instalación, ejecución y mantenimiento de instalaciones eléctricas, electromecánicas y electrónicas n.c.p. (Incluye la instalación de antenas, pararrayos, sistemas de alarmas contra incendios y robos, sistemas de telecomunicación, etc.)",30708645598,,2004-01-06,6,Argentina,1,Buenos Aires,3269,,,ZUVIRIA,265,,,1648,11-40050202,11-47313093,271010
4,,1,EQUIPAMIENTO DE EMPRESAS SA,EQUIPAMIENTO_DE_EMPRESAS_SA,contactos@jmi.com.ar,www.jmi.com.ar,"Fabricación de muebles y partes de muebles, excepto los que son principalmente de madera (metal, plástico, etc.)","Fabricación de muebles y partes de muebles, principalmente de madera",30678324880,,1995-01-17,31,Argentina,1,Ciudad Autónoma de Buenos Aires,3219,,,PARANA,783,10,,1017,237-4683606,11-44834610,310020
5,,1,AMERICAN TAG SRL,AMERICAN_TAG_SRL,patricia@americantag.com.ar,www.americantag.com.ar,"Impresión n.c.p., excepto de diarios y revistas",,33685852689,,1995-10-06,14,Argentina,1,Buenos Aires,3269,,,ADOLFO BELLOCQ,3480,,,1636,11-47115444,11-47113339,181109
6,,1,PLASTICOS FR SA,PLASTICOS_FR_SA,administracion@plasticosfrsa.com.ar,www.plasticosfrsa.com.ar,Fabricación de envases plásticos,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",30708786523,,2004-05-12,66,Argentina,1,Santa Fe,2189,,,DE LAS PALMERAS,4515,S,,2000,341-4381486,341-4351232,222010
7,,1,UNIPLAST SA,UNIPLAST_SA,administracion@uniplast.com.ar,www.uniplast.com.ar,Fabricación de envases plásticos,,30663956325,,1993-08-04,65,Argentina,1,Buenos Aires,3269,,,RUTA PCIAL 36 1729,0,,,1888,11-42371486,11-42371961,222010
8,,1,GRUPO GUASCH SRL,GRUPO_GUASCH_SRL,transporte@piedrasguasch.com.ar,www.piedrasguasch.com.ar,"Corte, tallado y acabado de la piedra (Incluye mármoles y granitos, etc.)",Venta al por mayor de artículos para la construcción n.c.p. (No incluye artículos y materiales de demolición: 466990),30708431784,,2003-08-01,15,Argentina,1,Buenos Aires,3269,,,INDIO,1560,,,8000,291-4889900,291-4086000,239600
9,,1,POLINET SRL,POLINET_SRL,info@sensorialweb.com,www.sensorialweb.com,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Venta al por menor de colchones y somieres,33709819319,,2006-09-06,4,Argentina,1,Buenos Aires,3269,,,PASO,1945,,,1650,11-47525140,0-0,222090
10,,1,CHALTEN AISLACIONES SA,CHALTEN_AISLACIONES_SA,info@moldurasgremold.com.ar,www.moldurasgremold.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles","Aislamiento térmico, acústico, hídrico y antivibratorio",30710423640,,2007-12-04,4,Argentina,1,Buenos Aires,3269,,,AV SAN MARTIN,3112,,,1678,11-47503055,0-0,222090
11,,1,NEVAR SRL,NEVAR_SRL,nevar_srl@yahoo.com.ar,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Venta al por mayor de artículos de iluminación,30595461959,,1982-12-17,4,Argentina,1,Buenos Aires,3269,,,BOLIVIA,1065,,,1824,11-42494138,11-42475475,222090
12,,1,CONSTRUCCIONES INDUSTRIALIZADAS SRL,CONSTRUCCIONES_INDUSTRIALIZADAS_SRL,administracion@fimer.com.ar,www.fimer.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Fabricación de maquinaria y equipo de uso especial n.c.p.,30708263679,,2003-03-19,6,Argentina,1,Santa Fe,2189,,,RUTA 11 KM 477,0,,,3018,0-0,0-0,222090
13,,1,POLIMEROS INDUSTRIALES SRL,POLIMEROS_INDUSTRIALES_SRL,administracion@polimerosindustriales.com.ar,www.polimerosindustriales.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Venta al por mayor de artículos de plástico,30714341134,,2013-12-20,4,Argentina,1,Santa Fe,2189,,,AV SANTA FE,757,,,2152,0-0,0-0,222090
