id,entity_id,category_id,,,,,,,
,1,7,Mecánico,Corte,SOIME SRL,www.soime.com.ar,Fabricación de maquinaria y equipo de uso especial n.c.p.,"Construcción, reforma y reparación de edificios no residenciales (Incluye construcción, reforma y r",1
,1,172,Metales,Materiales,SOIME SRL,,,,
,1,132,Soldadura Manual por Arco,Térmica,SOIME SRL,,,,
,1,22,"Conformado con Rodillos, Formado con Rodillos",Transformación,SOIME SRL,,,,
,2,132,Soldadura Manual por Arco,Térmica,MALDONADO SACI,www.maldonadosaci.com,Fabricación de carrocerías para vehículos automotores fabricación de remolques y semirremolques,"Fabricación de partes, piezas y accesorios para vehículos automotores y sus motores n.c.p.",1
,2,48,"Plegado de Chapa Metálica, Doblado de Chapa Metálica",Transformación,MALDONADO SACI,,,"Fabricación de partes, piezas y accesorios para vehículos automotores y sus motores n.c.p.",
,2,172,Metales,Materiales,MALDONADO SACI,,,,
,3,172,Metales,Materiales,MBBT SRL,www.moduquines.com.ar,"Fabricación de motores, generadores y transformadores eléctricos","Instalación, ejecución y mantenimiento de instalaciones eléctricas, electromecánicas y electrónicas n.c.p. (Incluye la instalación de antenas, pararrayos, sistemas de alarmas contra incendios y robos, sistemas de telecomunicación, etc.)",1
,3,69,Curvado de Tubos con Rodillos,Curvado de Tubos,MBBT SRL,,,,
,3,48,"Plegado de Chapa Metálica, Doblado de Chapa Metálica",Transformación,MBBT SRL,,,,
,3,137,Soldadura por Plasma,Térmica,MBBT SRL,,,,
,4,68,Curvado de Tubos con Mandril,Curvado de Tubos,EQUIPAMIENTO DE EMPRESAS SA,www.jmi.com.ar,"Fabricación de muebles y partes de muebles, excepto los que son principalmente de madera (metal, plástico, etc.)","Fabricación de muebles y partes de muebles, principalmente de madera",1
,4,172,Metales,Materiales,EQUIPAMIENTO DE EMPRESAS SA,,,,
,4,174,Aglomerados,Materiales,EQUIPAMIENTO DE EMPRESAS SA,,,,
,4,173,Maderas,Materiales,EQUIPAMIENTO DE EMPRESAS SA,,,,
,4,39,"Maquinado en CNC, Maquinado por Control Numérico",Transformación,EQUIPAMIENTO DE EMPRESAS SA,,,,
,5,143,Impresión,Terminación,AMERICAN TAG SRL,www.americantag.com.ar,"Impresión n.c.p., excepto de diarios y revistas",,1
,5,104,Inyección de Plásticos,Moldeo por Inyección,AMERICAN TAG SRL,,,,
,5,168,Termoplásticos,Materiales,AMERICAN TAG SRL,,,,
,6,47,Moldeo por Soplado,Transformación,PLASTICOS FR SA,www.plasticosfrsa.com.ar,Fabricación de envases plásticos,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",1
,6,104,Inyección de Plásticos,Moldeo por Inyección,PLASTICOS FR SA,,,,
,6,143,Impresión,Terminación,PLASTICOS FR SA,,,,
,6,39,"Maquinado en CNC, Maquinado por Control Numérico",Transformación,PLASTICOS FR SA,,,,
,7,185,Polietileno de alta densidad (HDPE),Polietileno (PE),UNIPLAST SA,www.uniplast.com.ar,Fabricación de envases plásticos,,1
,7,183,Polipropileno (PP),Poliolefina,UNIPLAST SA,,,,1
,7,185,Polietileno de alta densidad (HDPE),Polietileno (PE),UNIPLAST SA,,,,1
,7,180,Elastómero Termoplástico (TPE),Termoplásticos,UNIPLAST SA,,,,1
,7,47,Moldeo por Soplado,Transformación,UNIPLAST SA,,,,1
,7,180,Elastómero Termoplástico (TPE),Termoplásticos,UNIPLAST SA,,,,1
,7,104,Inyección de Plásticos,Moldeo por Inyección,UNIPLAST SA,,,,
,7,143,Impresión,Terminación,UNIPLAST SA,,,,
,8,7,Mecánico,Corte,GRUPO GUASCH SRL,www.piedrasguasch.com.ar,"Corte, tallado y acabado de la piedra (Incluye mármoles y granitos, etc.)",Venta al por mayor de artículos para la construcción n.c.p. (No incluye artículos y materiales de demolición: 466990),
,8,207,Mármol,Piedra,GRUPO GUASCH SRL,,,,
,8,208,Granito,Piedra,GRUPO GUASCH SRL,,,,
,8,209,Aserradero,Mecánico,GRUPO GUASCH SRL,,,,
,8,210,Tren de lustre,Substractivo,GRUPO GUASCH SRL,,,,
,9,216,Latex Natural,Caucho Natural,POLINET SRL,www.sensorialweb.com,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Venta al por menor de colchones y somieres,
,9,232,Poliuretano Termoestable (PU) (PUR),Caucho Sintético,POLINET SRL,,,,
,9,233,Viscoelástico,Poliuretano Termoestable (PU) (PUR),POLINET SRL,,,,
,10,,#N/A,#N/A,CHALTEN AISLACIONES SA,www.moldurasgremold.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles","Aislamiento térmico, acústico, hídrico y antivibratorio",
,10,,#N/A,#N/A,CHALTEN AISLACIONES SA,,,,
,11,,#N/A,#N/A,NEVAR SRL,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Venta al por mayor de artículos de iluminación,
,12,,#N/A,#N/A,CONSTRUCCIONES INDUSTRIALIZADAS SRL,www.fimer.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Fabricación de maquinaria y equipo de uso especial n.c.p.,
,13,,#N/A,#N/A,POLIMEROS INDUSTRIALES SRL,www.polimerosindustriales.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Venta al por mayor de artículos de plástico,
,14,,#N/A,#N/A,VERY NICE ARGENTINA SA,www.sinectis.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Fabricación de productos textiles n.c.p.,
,15,,#N/A,#N/A,PICOS PULVERIZADORES SA,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,16,,#N/A,#N/A,ELECTRO ROAR INDUSTRIAL SA,www.telectroroar.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,17,,#N/A,#N/A,PRECISIONS PLAST SRL,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,18,,#N/A,#N/A,NAONIS SRL,www.naonis.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Fabricación de ropa de cama y mantelería,
,19,,#N/A,#N/A,POLTECH SRL,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Venta al por menor de materiales de construcción n.c.p.,
,20,,#N/A,#N/A,MAXEPA SRL,www.maxepasrl.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,21,,#N/A,#N/A,GUNDEL MECANICA DE PRECISION SA,,Fabricación en industrias básicas de productos de hierro y acero n.c.p. (Incluye la producción de hojalata),"Actividades especializadas de construcción n.c.p. (Incluye el alquiler, montaje y desmantelamiento de andamios, la construcción de chimeneas y hornos industriales, el acorazamiento de cajas fuertes y cámaras frigoríficas, el armado e instalación de compuertas para diques, etc.)",
,22,,#N/A,#N/A,METALURGICA TORCEN SRL,www.torcen.com.ar,Fabricación de productos metálicos de tornería y/o matricería,Fabricación de cojinetes engranajes trenes de engranaje y piezas de transmisión,
,23,,#N/A,#N/A,FIDRA SRL,www.laoval.com.ar,Fabricación de productos metálicos de tornería y/o matricería,,
